id,name,category,brand,price,original_price,rating,review_count,stock,ship_from,free_shipping,tag,discount_amount,discount_percent
P021,芒果乾大包裝,零食甜點,小農好味,299,350,4.9,783,19,臺南,True,天然,51,14.6
P009,椒麻拌麵四入,泡麵乾糧,深夜食堂,239,280,4.8,845,62,臺北,True,宵夜,41,14.6
P002,無糖冷泡茶包20入,飲料沖泡,山嵐茶研,259,299,4.8,512,83,南投,True,回購,40,13.4
P017,鳳梨酥十二入,零食甜點,島嶼點心,420,480,4.8,932,35,臺北,True,送禮,60,12.5
P001,經典珍珠奶茶材料包,飲料沖泡,巷口茶舖,199,249,4.7,328,45,臺中,True,熱銷,50,20.1
P012,臺南擔仔麵五入,泡麵乾糧,府城老店,269,320,4.7,591,26,臺南,True,經典,51,15.9
P005,蜂蜜檸檬濃縮飲,飲料沖泡,小農好味,299,360,4.7,241,29,高雄,True,人氣,61,16.9
P023,牛軋糖綜合口味,零食甜點,阿嬤廚房,329,390,4.7,526,27,嘉義,True,伴手禮,61,15.6
P018,手工蛋捲禮盒,零食甜點,阿嬤廚房,380,450,4.7,671,22,嘉義,True,酥脆,70,15.6
P027,筆電增高散熱架,辦公用品,桌面研究所,499,650,4.7,731,41,臺中,True,護頸,151,23.2
