欄位,內容
本名,蔡緯嘉
出生,( 1984-07-21 ) 1984年7月21日 （ 42歲） 中華民國 （ 臺灣 ） 嘉義市
居住地,中華民國（臺灣） 台北市 北投區
教育程度,碩士
母校,中國文化大學 社會福利學系 [ 2 ]
职业,部落客 、 網絡名人 、 YouTuber
身高,168公分
配偶,李佩潔 （ 2016年 结婚） [ 1 ]
儿女,2子
頻道,蔡阿嘎 蔡阿嘎Life 蔡阿嘎543
活躍年份,2008年至今
類型,搞笑、公益、臺灣
訂閱量,252萬（蔡阿嘎） 162萬（蔡阿嘎Life） 35.4萬（蔡阿嘎543）
總观看量,"793,803,994次（蔡阿嘎） 610,441,009次（蔡阿嘎Life） 76,982,652次（蔡阿嘎543）"
口頭禪,愛臺灣（台語）
語言,國語 、 臺語
創作者獎,創作者獎 10萬訂閱 000000002012-01-01-0000 2012年 （蔡阿嘎） 000000002017-01-01-0000 2017年 （蔡阿嘎Life） 000000002023-01-01-0000 2023年 （蔡阿嘎543） 100萬訂閱 000000002015-01-01-0000 2015年 （蔡阿嘎） 000000002019-01-01-0000 2019年 （蔡阿嘎Life）
演奏乐器,人聲
相关团体,七月半 [ 1 ]
