排名,頁數,標題,網址
1,1,出席九三敬軍活動展售會 卓揆向國軍致敬 全力支持與照顧國軍福利 115-09-05 行政院長卓榮泰今（5）日出席「115年度九三敬軍優惠系列活動-英雄饗宴 飽家味國」展售會時表示，去（114）年共有62家企業品牌、2萬家門店響應敬軍系列活動，今（115）年則大幅增加至640個品牌、2萬2千家門店，......,https://www.ey.gov.tw/Page/9277F759E41CCD91/e181a430-75d8-4473-aba7-81f9623adf65
2,1,台中電廠2燃煤機組10月啟動拆除 卓揆：「以氣換煤」如期推進 2034年台中電廠達成無煤供電 115-09-04 行政院長卓榮泰今（4）日前往台中火力發電廠，視察「以氣換煤」工程進度與煙囪拆除計畫。卓院長表示，台中電廠整體空污總排放量相較2014年已大幅降低8成，針對各界關注的台中電廠供電規劃，卓院長重申政府三大承諾：2034......,https://www.ey.gov.tw/Page/9277F759E41CCD91/f19f89df-1585-45a2-8a14-2096cdbe503b
3,1,出席防制綠能犯罪座談會 卓揆：完善制度、嚴打不法 保障合法業者開發潔淨綠能 115-09-04 行政院長卓榮泰今（4）日出席「綠能前行．廉潔治理」防制綠能犯罪座談會時表示，產業發展需要電力，電力供應則需要潔淨能源，這是我國產業走向國際、提升國際競爭力的必要條件；中央、地方各級行政人員及檢、警、調、廉同仁責無旁......,https://www.ey.gov.tw/Page/9277F759E41CCD91/1373b445-a7aa-4b49-85bb-5c95487996d3
4,1,頒發中華建築金石獎 卓揆感謝得獎企業融入創新精神 提升國人生活品質 115-09-03 行政院長卓榮泰今（3）日出席「第34屆中華建築金石獎」頒獎典禮時表示，建築產業是一個相當複雜、多元且專業的領域，唯有歷經多年淬鍊，才能獲得金石獎這份殊榮。卓院長感謝金石獎主辦單位「中華教科文創新發展協會」堅持不拔、......,https://www.ey.gov.tw/Page/9277F759E41CCD91/5b1cd8bf-9e84-409f-99e0-09a8a36f07ef
5,1,"政院通過115年度中央政府總預算追加預算案6,076億元 卓揆：全力穩定民生、加碼社福、提升待遇、災害重建、強化國防及支持育兒 115-09-03 行政院會今（3）日通過主計總處編具之「115年度中央政府總預算追加預算案」，追加編列6,076億元歲出預算，用以「穩定民生」、「社福加碼」、「提升待遇」、「災後重建」、「強化國防」及「啟動兒少成長津貼」等六大面向，......",https://www.ey.gov.tw/Page/9277F759E41CCD91/e6b90fcf-0d42-40e3-b001-1c790c076657
6,1,政院通過「國民運動法」修正草案 形塑多元平權運動文化、促進社會包容及環境永續發展 115-09-03 行政院會今（3）日通過運動部擬具之「國民體育法」修正草案，法案名稱並修正為「國民運動法」，將函請立法院審議。行政院長卓榮泰表示，運動部成立目的之一，是為落實賴清德總統「健康台灣」政見，同時為提升國民健康，亦特別設立......,https://www.ey.gov.tw/Page/9277F759E41CCD91/d0eb8192-299e-4522-a74d-23435408aed2
7,1,卓揆：提供最完善醫療防護及後勤支援 全力協助我國選手力戰愛知名古屋亞運 115-09-03 行政院長卓榮泰今（3）日在行政院會聽取運動部「2026愛知名古屋亞運參賽準備情形」報告後表示，第20屆亞運將於今（2026）年9月19日至10月4日，由日本愛知縣及名古屋市聯合舉辦。我國代表團團員共計735名，包括......,https://www.ey.gov.tw/Page/9277F759E41CCD91/53e40520-0d2b-41e0-8150-d1a915f76934
8,1,運動部成立將屆週年 卓揆：以「SPORTS」六大策略落實「運動產業發展綱領」 推動新時代運動政策 115-09-03 行政院長卓榮泰今（3）日於行政院會聽取運動部「運動產業發展綱領（115-118年）」報告後表示，行政院已於去（114）年9月9日正式成立運動部，落實賴清德總統競選政見，迄今運動部成立將屆滿1年。卓院長指出，本次運動......,https://www.ey.gov.tw/Page/9277F759E41CCD91/7bcce0c6-b46c-401f-8c94-134bf46b9431
9,1,季連成政委召開「打黑反毒指揮小組」第二次會議 持續督促落實毒品及毒駕防制各項業務 保障民眾安全 115-09-02 為持續落實行政院毒品及毒駕防制政策及作為，季連成政委今（2）日下午召集法務部、內政部、財政部、國防部、海巡署等檢、警、調、憲、海巡、關務六大查緝系統及教育部，主持「打黑反毒指揮小組」專案會議第二次會議，聽取六大緝毒......,https://www.ey.gov.tw/Page/9277F759E41CCD91/5659ecaa-19e3-448b-b19e-e57c71c91ac5
10,1,SEMICON國際半導體展開幕 卓揆：備妥土地、能源、金融及人才支持 攜手世界共創高峰 115-09-02 行政院長卓榮泰今（2）日出席「SEMICON Taiwan 2026國際半導體展」開幕典禮時表示，半導體產業具有高度全球化特性，希望藉由各國更專業分工、更多跨國合作，增加彼此優勢，讓各國人民均能互蒙其利。此外，我國......,https://www.ey.gov.tw/Page/9277F759E41CCD91/3104e8b0-1ca4-4621-99ba-6ececffd8db1
